lattice,w,q,Omega,D0,x_F0.0005,se_F0.0005,eps_F0.0005,njumps_F0.0005,xth_F0.0005,x_F0.001,se_F0.001,eps_F0.001,njumps_F0.001,xth_F0.001
cubic,2,6,4,0.166666666667,7325,886.832381,0.0003333333333,81333443.29,7059.323397,8468.96,923.7819338,0.0006666666667,48277131.93,8691.046562
cubic,4,6,16,0.166666666667,1875.35,282.0002416,0.001333333333,21341068.69,2674.983355,3240.99,329.5796004,0.002666666667,18638635.62,3293.290814
cubic,6,6,36,0.166666666667,753.88,156.1058772,0.003,8179243.75,1516.328582,1191.72,169.3112394,0.006,7454836.52,1866.819463
cubic,8,6,64,0.166666666667,267.82,95.85445762,0.005333333333,3178503.26,1013.629147,470.93,100.8346925,0.01066666667,2908411.5,1247.923861
cubic,11,6,121,0.166666666667,220.27,80.22796164,0.01008333333,3149536.6,649.0158643,397.18,78.68659016,0.02016666667,2487577.54,799.0322555
cubic,13,6,169,0.166666666667,102.52,76.5179803,0.01408333333,1777438.11,513.6702086,259.66,77.96811602,0.02816666667,1874529.76,632.4022077
hex,1,8,1,0.125,14946.58,1691.166304,6.250000016e-05,240398420.8,17089.26762,19829.31,1937.095171,0.0001250000013,164044308.6,21039.35636
hex,3,8,19,0.125,1233.58,234.902653,0.001187500003,20026181.89,2175.684563,2022.51,269.7434039,0.002375000025,14003609.55,2678.581894
hex,5,8,61,0.125,-51.54,120.7631996,0.00381250001,5954581.49,961.5958191,401.09,119.8468712,0.007625000079,5421165.5,1183.863321
hex,7,8,127,0.125,167.21,86.81216841,0.007937500021,2701530.3,575.5205642,338.83,94.06314777,0.01587500017,2890487.7,708.5489274
hex,8,8,169,0.125,115.22,71.48143727,0.01056250003,2611164.7,471.1972614,220.49,82.36206773,0.02112500022,2426015.15,580.111876
hex,9,8,217,0.125,14.03,65.68977974,0.01356250004,1888951.24,395.5502262,144.46,60.4290826,0.02712500028,1645264.62,486.9794512
