lattice,w,q,Omega,D0,x_F0.0005,se_F0.0005,eps_F0.0005,njumps_F0.0005,xth_F0.0005,x_F0.001,se_F0.001,eps_F0.001,njumps_F0.001,xth_F0.001
cubic,2,6,4,0.166666666667,7003.45,102.717,0.0003333333333,81333443.29,7059.323397,8469.11,124.214,0.0006666666667,48277131.93,8691.046562
cubic,4,6,16,0.166666666667,2689.15,36.572,0.001333333333,21341068.69,2674.983355,3292.55,44.779,0.002666666667,18638635.62,3293.290814
cubic,6,6,36,0.166666666667,1552.44,20.404,0.003,8179243.75,1516.328582,1875.96,24.656,0.006,7454836.52,1866.819463
cubic,8,6,64,0.166666666667,1000.08,12.89,0.005333333333,3178503.26,1013.629147,1215.83,15.671,0.01066666667,2908411.5,1247.923861
cubic,11,6,121,0.166666666667,655.32,8.301,0.01008333333,3149536.6,649.0158643,795.01,10.07,0.02016666667,2487577.54,799.0322555
cubic,13,6,169,0.166666666667,513.07,6.45,0.01408333333,1777438.11,513.6702086,626.35,7.874,0.02816666667,1874529.76,632.4022077
hex,1,8,1,0.125,16405.74,262.492,6.250000016e-05,240398420.8,17089.26762,21421.53,342.745,0.0001250000013,164044308.6,21039.35636
hex,3,8,19,0.125,2194.07,30.717,0.001187500003,20026181.89,2175.684563,2688.98,37.646,0.002375000025,14003609.55,2678.581894
hex,5,8,61,0.125,972.24,12.963,0.00381250001,5954581.49,961.5958191,1159.28,15.457,0.007625000079,5421165.5,1183.863321
hex,7,8,127,0.125,593.93,7.721,0.007937500021,2701530.3,575.5205642,704.88,9.163,0.01587500017,2890487.7,708.5489274
hex,8,8,169,0.125,473.93,6.108,0.01056250003,2611164.7,471.1972614,587.09,7.567,0.02112500022,2426015.15,580.111876
hex,9,8,217,0.125,378.31,4.842,0.01356250004,1888951.24,395.5502262,500.03,6.4,0.02712500028,1645264.62,486.9794512
