model,bc,alpha,A,a,b,D0,w,Omega,F,T,N_walkers,x_mean,x_stderr,x_ci_lo,x_ci_hi,x_median,top1pct_share,N_steps_mean,frac_stuck,capped,v_par,D_par,D_perp,eps_theory,Lambda_theory,N_star,N_over_Nstar,valid,x_theory_eq10,x_theory_eq34,eps_meas,Lambda_meas,ndiag,cache_hit_rate
invd2,pbc,0.3,1,1,2,0.4,8,8,0.1,1e+14,20000,2239.18,14.1634,2212.13,2268.11,1689,0.0461905,55961,5e-05,0,0.0399767,0.4001,0.3996,0.319813,0.424543,500.708,111.764,0,1662.9,1747.18,nan,nan,0,0.786387
invd2,pbc,0.3,1,1,2,0.4,8,8,0.1,1e+15,20000,4491.27,28.5645,4434.88,4545.98,3395,0.0471012,112255,5e-05,0,0.0399767,0.4001,0.3996,0.319813,0.424543,500.708,224.191,0,3317.91,3486.09,nan,nan,0,0.786387
invd2,pbc,0.3,1,1,2,0.4,8,8,0.1,1e+16,20000,9136.73,58.2901,9031.58,9242.08,6881,0.0471795,228484,5e-05,0,0.0399767,0.4001,0.3996,0.319813,0.424543,500.708,456.322,0,6620.11,6955.66,nan,nan,0,0.786387
invd2,pbc,0.3,1,1,2,0.4,8,8,0.1,1e+17,20000,18127.3,115.866,17899.1,18371.3,13635.5,0.0482791,453449,5e-05,0,0.0399767,0.4001,0.3996,0.319813,0.424543,500.708,905.614,0,13208.8,13878.4,nan,nan,0,0.786387
invd2,pbc,0.3,1,1,2,0.4,6,6,0.1,1e+14,20000,2495.11,16.0401,2462.44,2527.25,1854,0.0477211,62345.2,5e-05,0,0.0399767,0.4001,0.3996,0.23986,0.34381,500.708,124.514,0,2053.37,2136.96,nan,nan,0,0.817224
invd2,pbc,0.3,1,1,2,0.4,6,6,0.1,1e+15,20000,5046.41,32.1027,4989.28,5106.44,3773,0.0461531,126174,5e-05,0,0.0399767,0.4001,0.3996,0.23986,0.34381,500.708,251.992,0,4097.02,4263.79,nan,nan,0,0.817224
invd2,pbc,0.3,1,1,2,0.4,6,6,0.1,1e+16,20000,10134.2,64.2911,10007.2,10254.6,7673.5,0.0463972,253439,5e-05,0,0.0399767,0.4001,0.3996,0.23986,0.34381,500.708,506.161,0,8174.62,8507.38,nan,nan,0,0.817224
invd2,pbc,0.3,1,1,2,0.4,6,6,0.1,1e+17,20000,20266.5,129.409,20012.4,20517.2,15136.5,0.0468408,506934,5e-05,0,0.0399767,0.4001,0.3996,0.23986,0.34381,500.708,1012.43,0,16310.5,16974.4,nan,nan,0,0.817224
invd2,pbc,0.3,1,1,2,0.4,4,4,0.1,1e+14,20000,3075.28,19.4669,3038.69,3111.61,2324,0.0464915,76860.2,5e-05,0,0.0399767,0.4001,0.3996,0.159907,0.256096,500.708,153.503,0,2756.67,2838.31,nan,nan,0,0.860902
invd2,pbc,0.3,1,1,2,0.4,4,4,0.1,1e+15,20000,6150.04,38.8807,6076.15,6220.82,4614,0.0462775,153709,5e-05,0,0.0399767,0.4001,0.3996,0.159907,0.256096,500.708,306.983,0,5500.27,5663.17,nan,nan,0,0.860902
invd2,pbc,0.3,1,1,2,0.4,4,4,0.1,1e+16,20000,12323,78.0972,12170.6,12467.3,9318,0.0467836,308123,5e-05,0,0.0399767,0.4001,0.3996,0.159907,0.256096,500.708,615.375,0,10974.5,11299.5,nan,nan,0,0.860902
invd2,pbc,0.3,1,1,2,0.4,4,4,0.1,1e+17,20000,24830.3,158.204,24492.8,25112.7,18429.5,0.0471099,621182,5e-05,0,0.0399767,0.4001,0.3996,0.159907,0.256096,500.708,1240.61,0,21897,22545.5,nan,nan,0,0.860902
invd2,pbc,0.3,1,1,2,0.4,3,3,0.1,1e+14,20000,3616.55,22.8669,3570.95,3662.89,2726,0.0458935,90403,5e-05,0,0.0399767,0.4001,0.3996,0.11993,0.208139,500.708,180.55,0,3391.82,3471.5,nan,nan,0,0.888966
invd2,pbc,0.3,1,1,2,0.4,3,3,0.1,1e+15,20000,7273.17,46.2121,7185.8,7356.6,5412.5,0.0465639,181810,5e-05,0,0.0399767,0.4001,0.3996,0.11993,0.208139,500.708,363.105,0,6767.57,6926.54,nan,nan,0,0.888966
invd2,pbc,0.3,1,1,2,0.4,3,3,0.1,1e+16,20000,14573.8,91.5143,14385.2,14758.1,10945,0.0461464,364429,5e-05,0,0.0399767,0.4001,0.3996,0.11993,0.208139,500.708,727.826,0,13503.1,13820.3,nan,nan,0,0.888966
invd2,pbc,0.3,1,1,2,0.4,3,3,0.1,1e+17,20000,29280.2,184.586,28917,29613.1,22024,0.0469455,732526,5e-05,0,0.0399767,0.4001,0.3996,0.11993,0.208139,500.708,1462.98,0,26942.2,27575.1,nan,nan,0,0.888966
invd2,pbc,0.3,1,1,2,0.4,2,2,0.1,1e+14,20000,4649.34,29.6237,4583.46,4712.22,3468.5,0.0471274,116262,5e-05,0,0.0399767,0.4001,0.3996,0.0799534,0.155685,500.708,232.196,0,4534.6,4610.84,nan,nan,0,0.921824
invd2,pbc,0.3,1,1,2,0.4,2,2,0.1,1e+15,20000,9289.1,59.2818,9169.86,9396.95,6946,0.0465184,232235,5e-05,0,0.0399767,0.4001,0.3996,0.0799534,0.155685,500.708,463.812,0,9047.71,9199.84,nan,nan,0,0.921824
invd2,pbc,0.3,1,1,2,0.4,2,2,0.1,1e+16,20000,18671.6,117.781,18434.1,18890.6,14152,0.0466865,467025,5e-05,0,0.0399767,0.4001,0.3996,0.0799534,0.155685,500.708,932.729,0,18052.5,18356.1,nan,nan,0,0.921824
invd2,pbc,0.3,1,1,2,0.4,2,2,0.1,1e+17,20000,37455.1,236.051,37002.4,37931.6,28310,0.0464548,937054,5e-05,0,0.0399767,0.4001,0.3996,0.0799534,0.155685,500.708,1871.46,0,36019.6,36625.2,nan,nan,0,0.921824
invd2,pbc,0.3,1,1,2,0.4,8,8,0.5,1e+14,20000,6213.97,39.5233,6130.07,6293.87,4683.5,0.0469099,31521,5e-05,0,0.197136,0.402451,0.390194,1.57709,nan,20.7116,1521.9,0,nan,2819.85,nan,nan,0,0.535854
invd2,pbc,0.3,1,1,2,0.4,8,8,0.5,1e+15,20000,12441.6,79.2734,12280.2,12619.3,9328.5,0.0472479,63110.3,5e-05,0,0.197136,0.402451,0.390194,1.57709,nan,20.7116,3047.1,0,nan,5626.34,nan,nan,0,0.535854
invd2,pbc,0.3,1,1,2,0.4,8,8,0.5,1e+16,20000,24927.8,158.243,24627.9,25252.7,18560.5,0.0459326,126441,5e-05,0,0.197136,0.402451,0.390194,1.57709,nan,20.7116,6104.84,0,nan,11226,nan,nan,0,0.535854
invd2,pbc,0.3,1,1,2,0.4,8,8,0.5,1e+17,20000,49757.1,315.448,49057.9,50347.2,37864,0.0468902,252396,5e-05,0,0.197136,0.402451,0.390194,1.57709,nan,20.7116,12186.3,0,nan,22398.9,nan,nan,0,0.535854
invd2,pbc,0.3,1,1,2,0.4,6,6,0.5,1e+14,20000,6271.72,39.9453,6193.69,6364.98,4706,0.0468805,31817.2,5e-05,0,0.197136,0.402451,0.390194,1.18281,nan,20.7116,1536.2,0,nan,3448.92,nan,nan,0,0.544359
invd2,pbc,0.3,1,1,2,0.4,6,6,0.5,1e+15,20000,12545.8,79.7753,12394.1,12690.9,9426.5,0.0473204,63641.2,5e-05,0,0.197136,0.402451,0.390194,1.18281,nan,20.7116,3072.74,0,nan,6881.5,nan,nan,0,0.544359
invd2,pbc,0.3,1,1,2,0.4,6,6,0.5,1e+16,20000,25096.5,158.856,24793.3,25434.2,18850,0.046288,127307,5e-05,0,0.197136,0.402451,0.390194,1.18281,nan,20.7116,6146.67,0,nan,13730.4,nan,nan,0,0.544359
invd2,pbc,0.3,1,1,2,0.4,6,6,0.5,1e+17,20000,50270,319.488,49619.9,50859.9,37769,0.046455,255011,5e-05,0,0.197136,0.402451,0.390194,1.18281,nan,20.7116,12312.5,0,nan,27395.7,nan,nan,0,0.544359
invd2,pbc,0.3,1,1,2,0.4,4,4,0.5,1e+14,20000,6667.18,42.5539,6574.14,6757.84,5019.5,0.047139,33814.5,5e-05,0,0.197136,0.402451,0.390194,0.788543,0.833837,20.7116,1632.64,0,4175.07,4580.86,nan,nan,0,0.572817
invd2,pbc,0.3,1,1,2,0.4,4,4,0.5,1e+15,20000,13162.1,83.4581,13007.1,13336.6,9886.5,0.0465971,66760.5,5e-05,0,0.197136,0.402451,0.390194,0.788543,0.833837,20.7116,3223.34,0,8330.37,9140.02,nan,nan,0,0.572817
invd2,pbc,0.3,1,1,2,0.4,4,4,0.5,1e+16,20000,26566.4,169.125,26257.1,26888.1,19861.5,0.0465245,134748,5e-05,0,0.197136,0.402451,0.390194,0.788543,0.833837,20.7116,6505.92,0,16621.3,18236.7,nan,nan,0,0.572817
invd2,pbc,0.3,1,1,2,0.4,4,4,0.5,1e+17,20000,52600.3,334.96,51853.8,53240,39457.5,0.0466602,266808,5e-05,0,0.197136,0.402451,0.390194,0.788543,0.833837,20.7116,12882.1,0,33163.8,36387.1,nan,nan,0,0.572817
invd2,pbc,0.3,1,1,2,0.4,3,3,0.5,1e+14,20000,7074.7,45.1117,6986.46,7177.82,5287.5,0.0472957,35886.4,5e-05,0,0.197136,0.402451,0.390194,0.591407,0.670739,20.7116,1732.68,0,5190.29,5602.79,nan,nan,0,0.607986
invd2,pbc,0.3,1,1,2,0.4,3,3,0.5,1e+15,20000,14192.3,90.1879,14004.9,14366.6,10517,0.0465066,71984.1,5e-05,0,0.197136,0.402451,0.390194,0.591407,0.670739,20.7116,3475.55,0,10356,11179,nan,nan,0,0.607986
invd2,pbc,0.3,1,1,2,0.4,3,3,0.5,1e+16,20000,28268.5,179.088,27942.6,28582.6,21339,0.0466548,143390,5e-05,0,0.197136,0.402451,0.390194,0.591407,0.670739,20.7116,6923.21,0,20662.9,22305.1,nan,nan,0,0.607986
invd2,pbc,0.3,1,1,2,0.4,3,3,0.5,1e+17,20000,55972.2,355.849,55349.6,56673.4,41932,0.0469111,283925,5e-05,0,0.197136,0.402451,0.390194,0.591407,0.670739,20.7116,13708.5,0,41227.9,44504.5,nan,nan,0,0.607986
invd2,pbc,0.3,1,1,2,0.4,2,2,0.5,1e+14,20000,8122.93,51.3269,8020.51,8231.3,6095,0.0458607,41207,5e-05,0,0.197136,0.402451,0.390194,0.394271,0.495536,20.7116,1989.57,0,7025.38,7441.63,nan,nan,0,0.675695
invd2,pbc,0.3,1,1,2,0.4,2,2,0.5,1e+15,20000,16260.2,102.792,16069.2,16455,12132.5,0.0459899,82480.4,5e-05,0,0.197136,0.402451,0.390194,0.394271,0.495536,20.7116,3982.34,0,14017.5,14848,nan,nan,0,0.675695
invd2,pbc,0.3,1,1,2,0.4,2,2,0.5,1e+16,20000,32593.8,205.649,32244.3,32976,24550,0.0463719,165334,5e-05,0,0.197136,0.402451,0.390194,0.394271,0.495536,20.7116,7982.69,0,27968.5,29625.7,nan,nan,0,0.675695
invd2,pbc,0.3,1,1,2,0.4,2,2,0.5,1e+17,20000,65105.4,415.732,64309.6,65908.5,49133.5,0.0475555,330248,5e-05,0,0.197136,0.402451,0.390194,0.394271,0.495536,20.7116,15945.1,0,55804.6,59111,nan,nan,0,0.675695
