model,bc,alpha,A,a,b,D0,w,Omega,F,T,N_walkers,x_mean,x_stderr,x_ci_lo,x_ci_hi,x_median,top1pct_share,N_steps_mean,frac_stuck,capped,v_par,D_par,D_perp,eps_theory,Lambda_theory,N_star,N_over_Nstar,valid,x_theory_eq10,x_theory_eq34,eps_meas,Lambda_meas,ndiag,cache_hit_rate
invd2,pbc,0.3,1,1,2,0.4,8,8,0.1,1e+14,200000,2258.51,4.53712,2250.19,2267.28,1699,0.0468264,56475.8,3e-05,0,0.0399767,0.4001,0.3996,0.319813,0.424543,500.708,112.792,0,1662.9,1747.18,nan,nan,0,0.786386
invd2,pbc,0.3,1,1,2,0.4,8,8,0.1,1e+15,200000,4499.99,9.04038,4483.23,4518.7,3392,0.0470407,112538,1e-05,0,0.0399767,0.4001,0.3996,0.319813,0.424543,500.708,224.758,0,3317.91,3486.09,nan,nan,0,0.786386
invd2,pbc,0.3,1,1,2,0.4,8,8,0.1,1e+16,200000,9010.42,18.1245,8972.86,9049.39,6742,0.0468508,225375,5e-06,0,0.0399767,0.4001,0.3996,0.319813,0.424543,500.708,450.113,0,6620.11,6955.66,nan,nan,0,0.786386
invd2,pbc,0.3,1,1,2,0.4,8,8,0.1,1e+17,200000,17988.4,36.2161,17913,18053.5,13517,0.0471686,449966,5e-06,0,0.0399767,0.4001,0.3996,0.319813,0.424543,500.708,898.66,0,13208.8,13878.4,nan,nan,0,0.786386
invd2,pbc,0.3,1,1,2,0.4,6,6,0.1,1e+14,200000,2535.63,5.10511,2526.78,2546.8,1900,0.0470083,63407.4,3e-05,0,0.0399767,0.4001,0.3996,0.23986,0.34381,500.708,126.635,0,2053.37,2136.96,nan,nan,0,0.817225
invd2,pbc,0.3,1,1,2,0.4,6,6,0.1,1e+15,200000,5060.65,10.1853,5042.4,5081.95,3803,0.0472722,126561,1e-05,0,0.0399767,0.4001,0.3996,0.23986,0.34381,500.708,252.764,0,4097.02,4263.79,nan,nan,0,0.817225
invd2,pbc,0.3,1,1,2,0.4,6,6,0.1,1e+16,200000,10112.9,20.29,10070.1,10155.1,7595,0.0467053,252964,5e-06,0,0.0399767,0.4001,0.3996,0.23986,0.34381,500.708,505.212,0,8174.62,8507.38,nan,nan,0,0.817225
invd2,pbc,0.3,1,1,2,0.4,6,6,0.1,1e+17,200000,20221.8,40.5695,20142.1,20301,15213,0.0468157,505822,5e-06,0,0.0399767,0.4001,0.3996,0.23986,0.34381,500.708,1010.21,0,16310.5,16974.4,nan,nan,0,0.817225
invd2,pbc,0.3,1,1,2,0.4,4,4,0.1,1e+14,200000,3088.28,6.19949,3077.82,3100.18,2330,0.0468918,77233.2,3e-05,0,0.0399767,0.4001,0.3996,0.159907,0.256096,500.708,154.248,0,2756.67,2838.31,nan,nan,0,0.860892
invd2,pbc,0.3,1,1,2,0.4,4,4,0.1,1e+15,200000,6161.86,12.3588,6136.05,6186.61,4640,0.0469377,154104,1e-05,0,0.0399767,0.4001,0.3996,0.159907,0.256096,500.708,307.773,0,5500.27,5663.17,nan,nan,0,0.860892
invd2,pbc,0.3,1,1,2,0.4,4,4,0.1,1e+16,200000,12349.3,24.8441,12301.1,12403.4,9238,0.0470825,308910,5e-06,0,0.0399767,0.4001,0.3996,0.159907,0.256096,500.708,616.946,0,10974.5,11299.5,nan,nan,0,0.860892
invd2,pbc,0.3,1,1,2,0.4,4,4,0.1,1e+17,200000,24656,49.4818,24571.4,24746.1,18502,0.0468804,616762,5e-06,0,0.0399767,0.4001,0.3996,0.159907,0.256096,500.708,1231.78,0,21897,22545.5,nan,nan,0,0.860892
invd2,pbc,0.3,1,1,2,0.4,3,3,0.1,1e+14,200000,3625.68,7.2789,3611.64,3638.9,2731,0.046864,90665.9,3e-05,0,0.0399767,0.4001,0.3996,0.11993,0.208139,500.708,181.075,0,3391.82,3471.5,nan,nan,0,0.888956
invd2,pbc,0.3,1,1,2,0.4,3,3,0.1,1e+15,200000,7253.72,14.5443,7226.02,7283.12,5442,0.0467878,181399,1e-05,0,0.0399767,0.4001,0.3996,0.11993,0.208139,500.708,362.284,0,6767.57,6926.54,nan,nan,0,0.888956
invd2,pbc,0.3,1,1,2,0.4,3,3,0.1,1e+16,200000,14498.8,29.1662,14433.2,14553,10864,0.0471611,362683,5e-06,0,0.0399767,0.4001,0.3996,0.11993,0.208139,500.708,724.34,0,13503.1,13820.3,nan,nan,0,0.888956
invd2,pbc,0.3,1,1,2,0.4,3,3,0.1,1e+17,200000,28989,58.1193,28881.3,29098.7,21830.5,0.0468997,725170,5e-06,0,0.0399767,0.4001,0.3996,0.11993,0.208139,500.708,1448.29,0,26942.2,27575.1,nan,nan,0,0.888956
invd2,pbc,0.3,1,1,2,0.4,2,2,0.1,1e+14,200000,4651.78,9.32046,4635.95,4669.7,3501,0.046672,116325,3e-05,0,0.0399767,0.4001,0.3996,0.0799534,0.155685,500.708,232.32,0,4534.6,4610.84,nan,nan,0,0.921818
invd2,pbc,0.3,1,1,2,0.4,2,2,0.1,1e+15,200000,9306.98,18.6749,9269.01,9344.88,6988,0.0467923,232754,1e-05,0,0.0399767,0.4001,0.3996,0.0799534,0.155685,500.708,464.849,0,9047.71,9199.84,nan,nan,0,0.921818
invd2,pbc,0.3,1,1,2,0.4,2,2,0.1,1e+16,200000,18609.7,37.3123,18534.4,18684.2,13967,0.0468334,465511,5e-06,0,0.0399767,0.4001,0.3996,0.0799534,0.155685,500.708,929.704,0,18052.5,18356.1,nan,nan,0,0.921818
invd2,pbc,0.3,1,1,2,0.4,2,2,0.1,1e+17,200000,37207.3,74.66,37079,37349,27938,0.0469131,930775,5e-06,0,0.0399767,0.4001,0.3996,0.0799534,0.155685,500.708,1858.92,0,36019.6,36625.2,nan,nan,0,0.921818
invd2,pbc,0.3,1,1,2,0.4,8,8,0.5,1e+14,200000,6219.91,12.5425,6195.68,6244.72,4653,0.047274,31550.9,3e-05,0,0.197136,0.402451,0.390194,1.57709,nan,20.7116,1523.35,0,nan,2819.85,nan,nan,0,0.535852
invd2,pbc,0.3,1,1,2,0.4,8,8,0.5,1e+15,200000,12413.7,24.9076,12363.9,12459,9311,0.0467355,62968.7,1e-05,0,0.197136,0.402451,0.390194,1.57709,nan,20.7116,3040.27,0,nan,5626.34,nan,nan,0,0.535852
invd2,pbc,0.3,1,1,2,0.4,8,8,0.5,1e+16,200000,24773.5,49.6908,24683.7,24866.2,18619,0.046678,125663,5e-06,0,0.197136,0.402451,0.390194,1.57709,nan,20.7116,6067.28,0,nan,11226,nan,nan,0,0.535852
invd2,pbc,0.3,1,1,2,0.4,8,8,0.5,1e+17,200000,49517,99.3606,49341,49710,37209.5,0.0467377,251181,5e-06,0,0.197136,0.402451,0.390194,1.57709,nan,20.7116,12127.6,0,nan,22398.9,nan,nan,0,0.535852
