model,bc,alpha,A,a,b,D0,w,Omega,F,T,N_walkers,x_mean,x_stderr,x_ci_lo,x_ci_hi,x_median,top1pct_share,N_steps_mean,frac_stuck,capped,v_par,D_par,D_perp,eps_theory,Lambda_theory,N_star,N_over_Nstar,valid,x_theory_eq10,x_theory_eq34,eps_meas,Lambda_meas,ndiag,cache_hit_rate
invd2,pbc,0.3,1,1,2,0.4,16,16,0.00468751,2.15857e+14,100000,419.984,1.76507,416.901,423.302,285,0.0637182,223783,2e-05,0,0.001875,0.4,0.399999,0.03,0.07765,227556,0.983422,0,537.142,541.035,nan,nan,0,0.904933
invd2,pbc,0.3,1,1,2,0.4,16,16,0.00468751,2.15857e+15,100000,956.265,3.32912,949.7,962.559,678,0.0551273,510329,1e-05,0,0.001875,0.4,0.399999,0.03,0.07765,227556,2.24265,0,1071.74,1079.51,nan,nan,0,0.904933
invd2,pbc,0.3,1,1,2,0.4,16,16,0.00468751,2.15857e+16,100000,2063.45,6.48322,2051.59,2075.81,1502,0.0509651,1.10139e+06,1e-05,0,0.001875,0.4,0.399999,0.03,0.07765,227556,4.84009,0,2138.4,2153.9,nan,nan,0,0.904933
invd2,pbc,0.3,1,1,2,0.4,16,16,0.00468751,2.15857e+17,100000,4272.68,12.7426,4249.5,4298.47,3157,0.048524,2.28048e+06,0,0,0.001875,0.4,0.399999,0.03,0.07765,227556,10.0216,1,4266.67,4297.6,nan,nan,0,0.904933
invd2,pbc,0.3,1,1,2,0.4,12,12,0.00468751,2.15857e+14,100000,526.492,2.07698,522.76,530.44,364,0.0602584,280688,2e-05,0,0.001875,0.4,0.399999,0.0225,0.0633843,227556,1.23349,0,658.035,661.733,nan,nan,0,0.928147
invd2,pbc,0.3,1,1,2,0.4,12,12,0.00468751,2.15857e+15,100000,1181.26,3.97747,1173.58,1189.28,843,0.0535807,630206,1e-05,0,0.001875,0.4,0.399999,0.0225,0.0633843,227556,2.76946,0,1312.95,1320.33,nan,nan,0,0.928147
invd2,pbc,0.3,1,1,2,0.4,12,12,0.00468751,2.15857e+16,100000,2520.41,7.78358,2506.2,2535.4,1836,0.0500076,1.34423e+06,1e-05,0,0.001875,0.4,0.399999,0.0225,0.0633843,227556,5.90726,0,2619.69,2634.41,nan,nan,0,0.928147
invd2,pbc,0.3,1,1,2,0.4,12,12,0.00468751,2.15857e+17,100000,5188.38,15.3119,5158.65,5217.37,3844,0.0479575,2.768e+06,0,0,0.001875,0.4,0.399999,0.0225,0.0633843,227556,12.1641,1,5226.96,5256.33,nan,nan,0,0.928147
invd2,pbc,0.3,1,1,2,0.4,8,8,0.00468751,2.15857e+14,100000,726.559,2.66223,721.065,731.818,510,0.0574729,387786,2e-05,0,0.001875,0.4,0.399999,0.015,0.0476406,227556,1.70414,0,875.495,878.914,nan,nan,0,0.954205
invd2,pbc,0.3,1,1,2,0.4,8,8,0.00468751,2.15857e+15,100000,1594.53,5.15125,1584.43,1604.82,1148,0.0519859,851590,1e-05,0,0.001875,0.4,0.399999,0.015,0.0476406,227556,3.74233,0,1746.84,1753.66,nan,nan,0,0.954205
invd2,pbc,0.3,1,1,2,0.4,8,8,0.00468751,2.15857e+16,100000,3357.15,10.144,3337.2,3378.17,2475.5,0.0490973,1.79107e+06,1e-05,0,0.001875,0.4,0.399999,0.015,0.0476406,227556,7.87091,0,3485.41,3499.02,nan,nan,0,0.954205
invd2,pbc,0.3,1,1,2,0.4,8,8,0.00468751,2.15857e+17,100000,6875.03,20.113,6838.79,6918.9,5107.5,0.0479598,3.66545e+06,0,0,0.001875,0.4,0.399999,0.015,0.0476406,227556,16.1079,1,6954.31,6981.46,nan,nan,0,0.954205
invd2,pbc,0.3,1,1,2,0.4,6,6,0.00468751,2.15857e+14,100000,916.223,3.2126,909.806,922.849,648,0.0557168,489318,2e-05,0,0.001875,0.4,0.399999,0.01125,0.0389162,227556,2.15032,0,1071.77,1074.99,nan,nan,0,0.967691
invd2,pbc,0.3,1,1,2,0.4,6,6,0.00468751,2.15857e+15,100000,1979.9,6.24837,1968.66,1991.71,1441,0.0509171,1.057e+06,1e-05,0,0.001875,0.4,0.399999,0.01125,0.0389162,227556,4.64502,0,2138.45,2144.88,nan,nan,0,0.967691
invd2,pbc,0.3,1,1,2,0.4,6,6,0.00468751,2.15857e+16,100000,4115.61,12.27,4091.51,4137.84,3056,0.0487645,2.19573e+06,1e-05,0,0.001875,0.4,0.399999,0.01125,0.0389162,227556,9.64919,1,4266.77,4279.6,nan,nan,0,0.967691
invd2,pbc,0.3,1,1,2,0.4,6,6,0.00468751,2.15857e+17,100000,8362.74,24.3378,8316.08,8410.37,6241,0.0481194,4.45813e+06,0,0,0.001875,0.4,0.399999,0.01125,0.0389162,227556,19.5914,1,8513.33,8538.93,nan,nan,0,0.967691
invd2,pbc,0.3,1,1,2,0.4,4,4,0.00468751,2.15857e+14,100000,1259.95,4.18777,1251.95,1268.88,904,0.0528371,673880,2e-05,0,0.001875,0.4,0.399999,0.0075,0.0292727,227556,2.96138,0,1424.85,1427.8,nan,nan,0,0.980748
invd2,pbc,0.3,1,1,2,0.4,4,4,0.00468751,2.15857e+15,100000,2675.74,8.17158,2661.47,2691.86,1970,0.0494944,1.42939e+06,1e-05,0,0.001875,0.4,0.399999,0.0075,0.0292727,227556,6.28151,0,2842.95,2848.84,nan,nan,0,0.980748
invd2,pbc,0.3,1,1,2,0.4,4,4,0.00468751,2.15857e+16,100000,5517.22,16.2859,5483.69,5549.7,4099,0.0486001,2.94227e+06,1e-05,0,0.001875,0.4,0.399999,0.0075,0.0292727,227556,12.9299,1,5672.42,5684.18,nan,nan,0,0.980748
invd2,pbc,0.3,1,1,2,0.4,4,4,0.00468751,2.15857e+17,100000,11120.8,32.2394,11056.4,11187.8,8278,0.0477524,5.92995e+06,0,0,0.001875,0.4,0.399999,0.0075,0.0292727,227556,26.0594,1,11318,11341.4,nan,nan,0,0.980748
invd2,pbc,0.3,1,1,2,0.4,3,3,0.00468751,2.15857e+14,100000,1572.21,5.06939,1562.08,1581.77,1136,0.0517225,839453,2e-05,0,0.001875,0.4,0.399999,0.005625,0.0239218,227556,3.689,0,1743.56,1746.32,nan,nan,0,0.986807
