alpha,w,N_traj,avg_x,norm_Y,ln_norm_Y,mean_steps
0.20,5,50000,1.6676580000000001e+01,4.4180995176795211e-02,-3.1194605557392165e+00,6.8204989999999998e+02
0.20,10,50000,5.6199800000000000e+00,1.4888922625243637e-02,-4.2071377904954392e+00,6.8583525999999995e+02
0.20,15,50000,2.9331000000000000e+00,7.7706146555863399e-03,-4.8574060114782478e+00,6.9124746000000005e+02
0.20,20,50000,1.7939000000000001e+00,4.7525504178706265e-03,-5.3490738749529374e+00,6.9113383999999996e+02
0.40,5,50000,1.3876627640000001e+04,1.0250586255349979e-01,-2.2778352863953821e+00,4.4979422028000001e+05
0.40,10,50000,6.0301511799999998e+03,4.4544385283649832e-02,-3.1112691648003645e+00,4.4927702470000001e+05
0.40,15,50000,3.7024402000000000e+03,2.7349716090944432e-02,-3.5990491307550663e+00,4.4875500394000002e+05
0.40,20,50000,2.6238203400000002e+03,1.9382012266570922e-02,-3.9434098457852964e+00,4.4903165921999997e+05
0.60,5,50000,1.1022150760080000e+07,2.3658454015277416e-01,-1.4414496712769640e+00,2.8220919065784001e+08
0.60,10,50000,6.2930921952999998e+06,1.3507784057503278e-01,-2.0019040698597061e+00,2.8072921690815997e+08
0.60,15,50000,4.5560856956200004e+06,9.7793929937777996e-02,-2.3248927699434336e+00,2.8116212861563998e+08
0.60,20,50000,3.6176005065600001e+06,7.7649849918649497e-02,-2.5555456621819745e+00,2.8103568533440000e+08
0.80,5,50000,8.4277016563824396e+09,5.4407881481644282e-01,-6.0866116244302915e-01,1.7038872168336105e+11
0.80,10,50000,6.3588436474206200e+09,4.1051668133880598e-01,-8.9033871427996247e-01,1.6975353357872473e+11
0.80,15,50000,5.4167699049777803e+09,3.4969792123594695e-01,-1.0506855793515590e+00,1.7010968760401920e+11
0.80,20,50000,4.8406560105776596e+09,3.1250493818497233e-01,-1.1631350077386227e+00,1.7058005589029337e+11
