w,F,N_traj,avg_x,mean_steps
2,0.01,100000,2.7801997000000001e+03,1.7530627300000000e+04
2,2.0000000000000000e-02,100000,3.4297024600000000e+03,1.7572440490000001e+04
2,5.0000000000000003e-02,100000,4.5264264199999998e+03,1.7637810180000000e+04
4,1.0000000000000000e-02,100000,1.0611822099999999e+03,1.7656369400000000e+04
4,2.0000000000000000e-02,100000,1.3158927100000001e+03,1.7788758389999999e+04
4,5.0000000000000003e-02,100000,1.7170728999999999e+03,1.7628004170000000e+04
6,1.0000000000000000e-02,100000,5.9892025999999998e+02,1.7574571499999998e+04
6,2.0000000000000000e-02,100000,7.4165332000000001e+02,1.7675982489999999e+04
6,5.0000000000000003e-02,100000,9.7457602999999995e+02,1.7645208429999999e+04
8,1.0000000000000000e-02,100000,4.0246616000000000e+02,1.7668569570000000e+04
8,2.0000000000000000e-02,100000,4.9179167000000001e+02,1.7549269189999999e+04
8,5.0000000000000003e-02,100000,6.5107225000000005e+02,1.7638160520000001e+04
10,1.0000000000000000e-02,100000,2.9403555000000000e+02,1.7660586139999999e+04
10,2.0000000000000000e-02,100000,3.6082979999999998e+02,1.7582216230000002e+04
10,5.0000000000000003e-02,100000,4.7763427000000001e+02,1.7667078350000000e+04
12,1.0000000000000000e-02,100000,2.2723911000000001e+02,1.7600627680000001e+04
12,2.0000000000000000e-02,100000,2.8046908999999999e+02,1.7659041389999999e+04
12,5.0000000000000003e-02,100000,3.6862770999999998e+02,1.7624136060000001e+04
14,1.0000000000000000e-02,100000,1.8392326000000000e+02,1.7666816149999999e+04
14,2.0000000000000000e-02,100000,2.2636449999999999e+02,1.7684448680000001e+04
14,5.0000000000000003e-02,100000,2.9862835000000001e+02,1.7704570240000001e+04
16,1.0000000000000000e-02,100000,1.5303889000000001e+02,1.7702846030000001e+04
16,2.0000000000000000e-02,100000,1.8778174000000001e+02,1.7625517140000000e+04
16,5.0000000000000003e-02,100000,2.4784421000000000e+02,1.7744555300000000e+04
18,1.0000000000000000e-02,100000,1.2891650999999999e+02,1.7666646540000002e+04
18,2.0000000000000000e-02,100000,1.5881782000000001e+02,1.7657175480000002e+04
18,5.0000000000000003e-02,100000,2.0904687000000001e+02,1.7637917249999999e+04
20,1.0000000000000000e-02,100000,1.1154116000000000e+02,1.7667294569999998e+04
20,2.0000000000000000e-02,100000,1.3762701999999999e+02,1.7732691599999998e+04
20,5.0000000000000003e-02,100000,1.8036479000000000e+02,1.7634286840000001e+04
