w,F,N_traj,avg_x,mean_steps
2,0.01,100000,1.0765914100000000e+03,1.7610717420000001e+04
2,2.0000000000000000e-02,100000,1.3277093600000001e+03,1.7620294109999999e+04
2,5.0000000000000003e-02,100000,1.7570135700000001e+03,1.7665877160000000e+04
4,1.0000000000000000e-02,100000,4.0819207999999998e+02,1.7663868050000001e+04
4,2.0000000000000000e-02,100000,5.0177551000000000e+02,1.7623525610000001e+04
4,5.0000000000000003e-02,100000,6.6145568000000003e+02,1.7644953210000000e+04
6,1.0000000000000000e-02,100000,2.3109000000000000e+02,1.7646435990000002e+04
6,2.0000000000000000e-02,100000,2.8470976000000002e+02,1.7668735320000000e+04
6,5.0000000000000003e-02,100000,3.7320285999999999e+02,1.7579724300000002e+04
8,1.0000000000000000e-02,100000,1.5455154999999999e+02,1.7652478790000001e+04
8,2.0000000000000000e-02,100000,1.9023767000000001e+02,1.7633927870000000e+04
8,5.0000000000000003e-02,100000,2.5005301000000000e+02,1.7643718250000002e+04
10,1.0000000000000000e-02,100000,1.1335758000000000e+02,1.7680687500000000e+04
10,2.0000000000000000e-02,100000,1.3857279000000000e+02,1.7570309649999999e+04
10,5.0000000000000003e-02,100000,1.8418075999999999e+02,1.7721876899999999e+04
12,1.0000000000000000e-02,100000,8.7513430000000000e+01,1.7637234489999999e+04
12,2.0000000000000000e-02,100000,1.0817448000000000e+02,1.7687820420000000e+04
12,5.0000000000000003e-02,100000,1.4179694000000001e+02,1.7617110089999998e+04
14,1.0000000000000000e-02,100000,7.0240520000000004e+01,1.7543251540000001e+04
14,2.0000000000000000e-02,100000,8.6745369999999994e+01,1.7630735779999999e+04
14,5.0000000000000003e-02,100000,1.1478567000000000e+02,1.7673732629999999e+04
16,1.0000000000000000e-02,100000,5.8728870000000001e+01,1.7654892349999998e+04
16,2.0000000000000000e-02,100000,7.2228319999999997e+01,1.7622980490000002e+04
16,5.0000000000000003e-02,100000,9.5323999999999998e+01,1.7711174480000001e+04
18,1.0000000000000000e-02,100000,4.9583579999999998e+01,1.7659220499999999e+04
18,2.0000000000000000e-02,100000,6.1365340000000003e+01,1.7687001629999999e+04
18,5.0000000000000003e-02,100000,8.0561499999999995e+01,1.7679675840000000e+04
20,1.0000000000000000e-02,100000,4.2430300000000003e+01,1.7599249619999999e+04
20,2.0000000000000000e-02,100000,5.2383550000000000e+01,1.7616180759999999e+04
20,5.0000000000000003e-02,100000,6.9449150000000003e+01,1.7605666359999999e+04
