w,F,N_traj,avg_x,mean_steps
5,0.01000000000000000,10000,7.70949100000000044e+02,1.75099578000000001e+04
5,0.03162277660168379,10000,1.09752839999999992e+03,1.76733964999999989e+04
5,0.10000000000000001,10000,1.54856680000000006e+03,1.76415400999999983e+04
5,0.31622776601683794,10000,2.17190230000000020e+03,1.75298135000000002e+04
5,1.00000000000000000,10000,3.07813680000000022e+03,1.75794700000000012e+04
10,0.01000000000000000,10000,2.96515699999999981e+02,1.77649858999999997e+04
10,0.03162277660168379,10000,4.17788999999999987e+02,1.77547331000000013e+04
10,0.10000000000000001,10000,5.87409700000000043e+02,1.76434242000000013e+04
10,0.31622776601683794,10000,8.30251700000000028e+02,1.76495826999999990e+04
10,1.00000000000000000,10000,1.18037139999999999e+03,1.77909465999999993e+04
25,0.01000000000000000,10000,8.24102000000000032e+01,1.77244249999999993e+04
25,0.03162277660168379,10000,1.14699600000000004e+02,1.76129300000000003e+04
25,0.10000000000000001,10000,1.63620000000000005e+02,1.76921143000000011e+04
25,0.31622776601683794,10000,2.28347399999999993e+02,1.75457684999999983e+04
25,1.00000000000000000,10000,3.21780300000000011e+02,1.75017453999999998e+04
