w,F,N_traj,avg_x,mean_steps
5,0.01000000000000000,100000,7.76195420000000013e+02,1.76468440499999997e+04
5,0.01668100537200059,100000,9.06843579999999974e+02,1.76761026100000017e+04
5,0.02782559402207124,100000,1.05651021999999989e+03,1.76640828099999999e+04
5,0.04641588833612777,100000,1.23304226999999992e+03,1.76912041600000011e+04
5,0.07742636826811269,100000,1.43804169000000002e+03,1.76920943699999989e+04
5,0.12915496650148839,100000,1.67308412999999996e+03,1.76588796199999997e+04
5,0.21544346900318834,100000,1.94802350000000001e+03,1.76329772000000012e+04
5,0.35938136638046275,100000,2.27757054999999991e+03,1.76841304700000001e+04
5,0.59948425031894093,100000,2.66072877999999992e+03,1.77208113200000007e+04
5,1.00000000000000000,100000,3.07559130999999979e+03,1.75716613700000016e+04
10,0.01000000000000000,100000,2.93993080000000020e+02,1.76635078800000010e+04
10,0.01668100537200059,100000,3.43561480000000017e+02,1.76941642099999990e+04
10,0.02782559402207124,100000,4.01556410000000028e+02,1.77364056799999998e+04
10,0.04641588833612777,100000,4.67408929999999998e+02,1.76927909199999995e+04
10,0.07742636826811269,100000,5.42207520000000045e+02,1.75984951000000001e+04
10,0.12915496650148839,100000,6.35680809999999951e+02,1.77118434999999990e+04
10,0.21544346900318834,100000,7.41451779999999985e+02,1.77166868499999982e+04
10,0.35938136638046275,100000,8.62138950000000023e+02,1.76664907600000006e+04
10,0.59948425031894093,100000,1.00379930000000002e+03,1.76431594100000002e+04
10,1.00000000000000000,100000,1.17196875999999997e+03,1.76646742899999990e+04
25,0.01000000000000000,100000,8.17355299999999971e+01,1.76861715399999994e+04
25,0.01668100537200059,100000,9.49266300000000030e+01,1.76239117299999998e+04
25,0.02782559402207124,100000,1.10492779999999996e+02,1.76388844900000004e+04
25,0.04641588833612777,100000,1.30067669999999993e+02,1.77088369400000011e+04
25,0.07742636826811269,100000,1.51474330000000009e+02,1.77482987900000007e+04
25,0.12915496650148839,100000,1.75161930000000012e+02,1.76104827699999987e+04
25,0.21544346900318834,100000,2.04685489999999987e+02,1.76533362799999995e+04
25,0.35938136638046275,100000,2.39485469999999992e+02,1.76948520199999984e+04
25,0.59948425031894093,100000,2.78623190000000022e+02,1.76252784299999985e+04
25,1.00000000000000000,100000,3.24357300000000009e+02,1.76411679599999989e+04
