alpha,w,N_traj,avg_x,norm_Y,ln_norm_Y,mean_steps
0.20,5,50000,7.9432000000000003e-01,1.3277735121782003e-01,-2.0190816045433615e+00,1.1386960000000000e+01
0.20,10,50000,2.8016000000000002e-01,4.6831129415329409e-02,-3.0612071387311586e+00,1.1478820000000001e+01
0.20,15,50000,1.4862000000000000e-01,2.4843098421281615e-02,-3.6951752945393772e+00,1.1480380000000000e+01
0.20,20,50000,7.9619999999999996e-02,1.3309160922503310e-02,-4.3193026896965296e+00,1.1458819999999999e+01
0.40,5,50000,8.3581400000000006e+00,2.4579577360747376e-01,-1.4032542764346692e+00,1.1428548000000001e+02
0.40,10,50000,3.5784799999999999e+00,1.0523576536632226e-01,-2.2515520614918803e+00,1.1289409999999999e+02
0.40,15,50000,2.2049200000000000e+00,6.4842179856115248e-02,-2.7357989636773734e+00,1.1290262000000000e+02
0.40,20,50000,1.5951200000000001e+00,4.6909211187746741e-02,-3.0595412222223599e+00,1.1260888000000000e+02
0.60,5,50000,8.5292100000000005e+01,4.5986337492859686e-01,-7.7682584464029580e-01,1.1192326200000000e+03
0.60,10,50000,4.8882120000000000e+01,2.6355426442618551e-01,-1.3334959951015808e+00,1.1176437800000001e+03
0.60,15,50000,3.5549819999999997e+01,1.9167144674951289e-01,-1.6519725876012061e+00,1.1232434200000000e+03
0.60,20,50000,2.8151700000000002e+01,1.5178352710247936e-01,-1.8852999370204819e+00,1.1198466000000001e+03
0.80,5,50000,8.5246644000000003e+02,8.7222785793721147e-01,-1.3670458423348958e-01,1.0704454180000001e+04
0.80,10,50000,6.4968694000000005e+02,6.6474763277013194e-01,-4.0834780994826403e-01,1.0753534920000000e+04
0.80,15,50000,5.5137537999999995e+02,5.6415706712948843e-01,-5.7242257843637079e-01,1.0735184060000000e+04
0.80,20,50000,4.9170931999999999e+02,5.0310786065825985e-01,-6.8695069716196366e-01,1.0743879980000000e+04
