alpha,w,N_traj,avg_x,mean_steps
0.20,5,100000,3.3604000000000001e-01,4.8615700000000004e+00
0.20,10,100000,1.1162999999999999e-01,4.8376900000000003e+00
0.20,15,100000,5.7480000000000003e-02,4.8497000000000003e+00
0.20,20,100000,4.2490000000000000e-02,4.8521400000000003e+00
0.40,5,100000,1.3360200000000000e+00,1.8419380000000000e+01
0.40,10,100000,5.7833999999999997e-01,1.8309650000000001e+01
0.40,15,100000,3.6798999999999998e-01,1.8325669999999999e+01
0.40,20,100000,2.5757999999999998e-01,1.8408400000000000e+01
0.60,5,100000,5.4082999999999997e+00,7.0947670000000002e+01
0.60,10,100000,3.0865900000000002e+00,7.1087100000000007e+01
0.60,15,100000,2.2464800000000000e+00,7.1254530000000003e+01
0.60,20,100000,1.7903400000000000e+00,7.0756339999999994e+01
0.80,5,100000,2.1501840000000001e+01,2.7013697999999999e+02
0.80,10,100000,1.6350739999999998e+01,2.7005644000000001e+02
0.80,15,100000,1.3865750000000000e+01,2.7015611999999999e+02
0.80,20,100000,1.2379709999999999e+01,2.7064222999999998e+02
0.00,5,100000,6.6869999999999999e-02,1.0000000000000000e+00
0.00,10,100000,1.5169999999999999e-02,1.0000000000000000e+00
0.00,15,100000,6.9800000000000001e-03,1.0000000000000000e+00
0.00,20,100000,4.7600000000000003e-03,1.0000000000000000e+00
0.00,5,100000,6.6280000000000006e-02,1.0000000000000000e+00
0.00,10,100000,1.6000000000000000e-02,1.0000000000000000e+00
0.00,15,100000,6.8700000000000002e-03,1.0000000000000000e+00
0.00,20,100000,4.5399999999999998e-03,1.0000000000000000e+00
0.00,5,100000,6.6159999999999997e-02,1.0000000000000000e+00
0.00,10,100000,1.5640000000000001e-02,1.0000000000000000e+00
0.00,15,100000,6.8199999999999997e-03,1.0000000000000000e+00
0.00,20,100000,4.4799999999999996e-03,1.0000000000000000e+00
0.00,5,100000,6.6510000000000000e-02,1.0000000000000000e+00
0.00,10,100000,1.5509999999999999e-02,1.0000000000000000e+00
0.00,15,100000,6.8300000000000001e-03,1.0000000000000000e+00
0.00,20,100000,4.7600000000000003e-03,1.0000000000000000e+00
0.00,5,100000,6.5939999999999999e-02,1.0000000000000000e+00
0.00,10,100000,1.5559999999999999e-02,1.0000000000000000e+00
0.00,15,100000,6.7000000000000002e-03,1.0000000000000000e+00
0.00,20,100000,4.3400000000000001e-03,1.0000000000000000e+00
