w,F,N_traj,avg_x
1,0.01,100000,7.3081003700000001e+03
1,2.0000000000000000e-02,100000,8.8950835299999999e+03
1,5.0000000000000003e-02,100000,1.1243090340000001e+04
3,1.0000000000000000e-02,100000,1.5834140900000000e+03
3,2.0000000000000000e-02,100000,1.9505578399999999e+03
3,5.0000000000000003e-02,100000,2.5805616000000000e+03
5,1.0000000000000000e-02,100000,7.7498512000000005e+02
5,2.0000000000000000e-02,100000,9.5388879999999995e+02
5,5.0000000000000003e-02,100000,1.2614635900000001e+03
7,1.0000000000000000e-02,100000,4.8534320000000002e+02
7,2.0000000000000000e-02,100000,5.9740129999999999e+02
7,5.0000000000000003e-02,100000,7.8846779000000004e+02
9,1.0000000000000000e-02,100000,3.4208747000000000e+02
9,2.0000000000000000e-02,100000,4.2005139000000003e+02
9,5.0000000000000003e-02,100000,5.5728536999999994e+02
