w,t,average_x_displacement
1,1e+16,116.746
1,1.17877e+16,123.568
1,1.3895e+16,128.671
1,1.63789e+16,135.148
1,1.9307e+16,141.549
1,2.27585e+16,146.263
1,2.6827e+16,156.704
1,3.16228e+16,166.565
1,3.72759e+16,171.541
1,4.39397e+16,181.409
1,5.17947e+16,187.686
1,6.1054e+16,201.964
1,7.19686e+16,213.429
1,8.48343e+16,224.037
1,1e+17,230.446
10,1e+16,113.923
10,1.17877e+16,124.485
10,1.3895e+16,132.507
10,1.63789e+16,139.01
10,1.9307e+16,143.366
10,2.27585e+16,155.055
10,2.6827e+16,159.157
10,3.16228e+16,165.442
10,3.72759e+16,169
10,4.39397e+16,181.335
10,5.17947e+16,191.562
10,6.1054e+16,201.383
10,7.19686e+16,218.395
10,8.48343e+16,217.155
10,1e+17,236.835
