alpha,w,N_traj,avg_x,norm_x,mean_steps
0.20,5,10000,7.8059999999999996e-01,1.4211324168821582e-01,1.1397900000000000e+01
0.20,10,10000,2.8050000000000003e-01,5.1066825894881554e-02,1.1351500000000000e+01
0.20,15,10000,1.0650000000000000e-01,1.9389008762227756e-02,1.1511200000000001e+01
0.20,20,10000,7.0499999999999993e-02,1.2834977631333865e-02,1.1461200000000000e+01
0.40,5,10000,8.1182999999999996e+00,2.6907732048971206e-01,1.1234580000000000e+02
0.40,10,10000,3.5449999999999999e+00,1.1749739491470250e-01,1.1203210000000000e+02
0.40,15,10000,2.1964000000000001e+00,7.2798668036855460e-02,1.1286460000000000e+02
0.40,20,10000,1.6255999999999999e+00,5.3879764505878808e-02,1.1398370000000000e+02
0.60,5,10000,8.6542000000000002e+01,5.2220968851729155e-01,1.1353702000000001e+03
0.60,10,10000,4.8498699999999999e+01,2.9264970789320294e-01,1.1169384000000000e+03
0.60,15,10000,3.5308700000000002e+01,2.1305892201417223e-01,1.1204777999999999e+03
0.60,20,10000,2.8066800000000001e+01,1.6936002040254580e-01,1.1169798000000001e+03
0.80,5,10000,8.5530870000000004e+02,9.3960839016644881e-01,1.0735903399999999e+04
0.80,10,10000,6.4977350000000001e+02,7.1381552918591729e-01,1.0755886800000000e+04
0.80,15,10000,5.5065589999999997e+02,6.0492884467871888e-01,1.0738182600000000e+04
0.80,20,10000,4.8752229999999997e+02,5.3557276276184784e-01,1.0658371200000000e+04
0.00,5,10000,7.3200000000000001e-02,7.3200000000000001e-02,1.0000000000000000e+00
0.00,10,10000,1.7800000000000000e-02,1.7800000000000000e-02,1.0000000000000000e+00
0.00,15,10000,8.9999999999999993e-03,8.9999999999999993e-03,1.0000000000000000e+00
0.00,20,10000,5.4999999999999997e-03,5.4999999999999997e-03,1.0000000000000000e+00
0.00,5,10000,7.3200000000000001e-02,7.3200000000000001e-02,1.0000000000000000e+00
0.00,10,10000,1.2400000000000000e-02,1.2400000000000000e-02,1.0000000000000000e+00
0.00,15,10000,7.9000000000000008e-03,7.9000000000000008e-03,1.0000000000000000e+00
0.00,20,10000,4.4999999999999997e-03,4.4999999999999997e-03,1.0000000000000000e+00
0.00,5,10000,7.7399999999999997e-02,7.7399999999999997e-02,1.0000000000000000e+00
0.00,10,10000,1.4500000000000001e-02,1.4500000000000001e-02,1.0000000000000000e+00
0.00,15,10000,6.1999999999999998e-03,6.1999999999999998e-03,1.0000000000000000e+00
0.00,20,10000,3.5999999999999999e-03,3.5999999999999999e-03,1.0000000000000000e+00
0.00,5,10000,7.7399999999999997e-02,7.7399999999999997e-02,1.0000000000000000e+00
0.00,10,10000,1.4500000000000001e-02,1.4500000000000001e-02,1.0000000000000000e+00
0.00,15,10000,7.3000000000000001e-03,7.3000000000000001e-03,1.0000000000000000e+00
0.00,20,10000,6.1000000000000004e-03,6.1000000000000004e-03,1.0000000000000000e+00
