alpha,w,N_traj,avg_x,norm_Y,ln_norm_Y,mean_steps
0.20,5,50000,1.9415000000000000e+00,1.2920100677412638e-01,-2.0463858952945966e+00,2.7876780000000000e+01
0.20,10,50000,6.5144000000000002e-01,4.3351379785185114e-02,-3.1384167473074429e+00,2.7971460000000000e+01
0.20,20,50000,2.2004000000000001e-01,1.4643002591078430e-02,-4.2237926964590615e+00,2.7903980000000001e+01
0.20,40,50000,7.1099999999999997e-02,4.7314919297658433e-03,-5.3535147076571237e+00,2.7769919999999999e+01
0.40,5,50000,5.1764980000000001e+01,2.4126860892979399e-01,-1.4218444062775424e+00,7.1187843999999996e+02
0.40,10,50000,2.2710999999999999e+01,1.0585247743560512e-01,-2.2457088765206472e+00,7.1233349999999996e+02
0.40,20,50000,9.8857599999999994e+00,4.6076006663458575e-02,-3.0774629272990279e+00,7.1409925999999996e+02
0.40,40,50000,4.2484000000000002e+00,1.9801138881485835e-02,-3.9220158236688558e+00,7.1078188000000000e+02
0.60,5,50000,1.3503536600000000e+03,4.5937519494514001e-01,-7.7788798464475317e-01,1.7721922540000000e+04
0.60,10,50000,7.7649207999999999e+02,2.6415391107493813e-01,-1.3312233492162786e+00,1.7743040499999999e+04
0.60,20,50000,4.4610253999999998e+02,1.5175908900637342e-01,-1.8854609562307136e+00,1.7748812819999999e+04
0.60,40,50000,2.5628811999999999e+02,8.7186348713361089e-02,-2.4397075117749418e+00,1.7750674960000000e+04
0.80,5,50000,3.4087857859999996e+04,8.7609736280911388e-01,-1.3227804946260432e-01,4.2774537998000003e+05
0.80,10,50000,2.5832570240000001e+04,6.6392692538190479e-01,-4.0958318769756941e-01,4.2765557260000001e+05
0.80,20,50000,1.9554661960000001e+04,5.0257742343741685e-01,-6.8800557442509802e-01,4.2720222404000000e+05
0.80,40,50000,1.4821542100000001e+04,3.8093077012655252e-01,-9.6513762607050424e-01,4.2729275750000001e+05
0.00,5,50000,6.5420000000000006e-02,6.5420000000000006e-02,-2.7269272568718992e+00,1.0000000000000000e+00
0.00,10,50000,1.5180000000000001e-02,1.5180000000000001e-02,-4.1877765070146529e+00,1.0000000000000000e+00
0.00,20,50000,4.4999999999999997e-03,4.4999999999999997e-03,-5.4036778822058631e+00,1.0000000000000000e+00
0.00,40,50000,9.3999999999999997e-04,9.3999999999999997e-04,-6.9696306827002248e+00,1.0000000000000000e+00
0.00,5,50000,6.7979999999999999e-02,6.7979999999999999e-02,-2.6885417347141671e+00,1.0000000000000000e+00
0.00,10,50000,1.5500000000000000e-02,1.5500000000000000e-02,-4.1669152550569359e+00,1.0000000000000000e+00
0.00,20,50000,4.6800000000000001e-03,4.6800000000000001e-03,-5.3644571690525815e+00,1.0000000000000000e+00
0.00,40,50000,4.4000000000000002e-04,4.4000000000000002e-04,-7.7287358310519672e+00,1.0000000000000000e+00
0.00,5,50000,6.9300000000000000e-02,6.9300000000000000e-02,-2.6693103727862795e+00,1.0000000000000000e+00
0.00,10,50000,1.8259999999999998e-02,1.8259999999999998e-02,-4.0030424038153143e+00,1.0000000000000000e+00
0.00,20,50000,5.2399999999999999e-03,5.2399999999999999e-03,-5.2514337806491866e+00,1.0000000000000000e+00
0.00,40,50000,-2.2000000000000001e-04,-2.2000000000000001e-04,-nan,1.0000000000000000e+00
0.00,5,50000,7.0099999999999996e-02,7.0099999999999996e-02,-2.6578324849415926e+00,1.0000000000000000e+00
0.00,10,50000,1.8040000000000000e-02,1.8040000000000000e-02,-4.0151637643476592e+00,1.0000000000000000e+00
0.00,20,50000,6.3000000000000000e-03,6.3000000000000000e-03,-5.0672056455846501e+00,1.0000000000000000e+00
0.00,40,50000,8.8000000000000003e-04,8.8000000000000003e-04,-7.0355886504920218e+00,1.0000000000000000e+00
