alpha,w,N_traj,avg_x,mean_steps
0.20,5,100000,3.3735999999999999e-01,4.8582099999999997e+00
0.20,10,100000,1.1176999999999999e-01,4.8457800000000004e+00
0.20,15,100000,6.0550000000000000e-02,4.8571999999999997e+00
0.20,20,100000,4.0289999999999999e-02,4.8504800000000001e+00
0.40,5,100000,1.3356800000000000e+00,1.8467350000000000e+01
0.40,10,100000,5.8472000000000002e-01,1.8318670000000001e+01
0.40,15,100000,3.6357000000000000e-01,1.8336910000000000e+01
0.40,20,100000,2.5666000000000000e-01,1.8419260000000001e+01
0.60,5,100000,5.4081799999999998e+00,7.0937020000000004e+01
0.60,10,100000,3.0904199999999999e+00,7.1075320000000005e+01
0.60,15,100000,2.2401200000000001e+00,7.1252730000000000e+01
0.60,20,100000,1.7890100000000000e+00,7.0682299999999998e+01
0.80,5,100000,2.1481470000000002e+01,2.6994083999999998e+02
0.80,10,100000,1.6360939999999999e+01,2.7008895999999999e+02
0.80,15,100000,1.3864310000000000e+01,2.7013756999999998e+02
0.80,20,100000,1.2382560000000000e+01,2.7055549000000002e+02
0.00,5,100000,6.6640000000000005e-02,1.0000000000000000e+00
0.00,10,100000,1.5910000000000001e-02,1.0000000000000000e+00
0.00,15,100000,6.8300000000000001e-03,1.0000000000000000e+00
0.00,20,100000,4.6299999999999996e-03,1.0000000000000000e+00
0.00,5,100000,6.6559999999999994e-02,1.0000000000000000e+00
0.00,10,100000,1.5559999999999999e-02,1.0000000000000000e+00
0.00,15,100000,6.7999999999999996e-03,1.0000000000000000e+00
0.00,20,100000,4.6299999999999996e-03,1.0000000000000000e+00
0.00,5,100000,6.6659999999999997e-02,1.0000000000000000e+00
0.00,10,100000,1.5559999999999999e-02,1.0000000000000000e+00
0.00,15,100000,6.5100000000000002e-03,1.0000000000000000e+00
0.00,20,100000,4.3400000000000001e-03,1.0000000000000000e+00
0.00,5,100000,6.6640000000000005e-02,1.0000000000000000e+00
0.00,10,100000,1.5530000000000000e-02,1.0000000000000000e+00
0.00,15,100000,6.7299999999999999e-03,1.0000000000000000e+00
0.00,20,100000,4.6899999999999997e-03,1.0000000000000000e+00
0.00,5,100000,6.6659999999999997e-02,1.0000000000000000e+00
0.00,10,100000,1.5120000000000000e-02,1.0000000000000000e+00
0.00,15,100000,6.5100000000000002e-03,1.0000000000000000e+00
0.00,20,100000,4.7000000000000002e-03,1.0000000000000000e+00
