R,F_input,t,average_x,C_sim,steps_max,steps_mean
5,0.01,1e+17,470.29899999999998,0.14155723183341032,842261,144117.16699999999
5,0.02,1e+17,574.33100000000002,0.14041427622250721,812642,142100.44399999999
5,0.050000000000000003,1e+17,715.85799999999995,0.13295169775134968,852745,133205.02100000001
10,0.01,1e+17,176.667,0.14033158624403466,844342,140632.71299999999
10,0.02,1e+17,242.82300000000001,0.15666818843486627,849393,146212.57399999999
10,0.050000000000000003,1e+17,296.61399999999998,0.14537865424131785,856957,145489.93400000001
15,0.01,1e+17,103.133,0.14451915501948939,830555,147275.747
15,0.02,1e+17,122.739,0.13970158857204862,909652,140352.99100000001
15,0.050000000000000003,1e+17,160.535,0.13880544211899773,966159,135701.11600000001
20,0.01,1e+17,87.730999999999995,0.18390565070100229,849393,146212.57399999999
20,0.02,1e+17,82.831000000000003,0.14103467424463823,844342,140632.71299999999
20,0.050000000000000003,1e+17,104.614,0.13531339813216736,1078254,142858.85800000001
30,0.01,1e+17,32.845999999999997,0.12146530503704953,695757,139351.364
30,0.02,1e+17,41.460999999999999,0.12453761104355422,938441,143888.476
30,0.050000000000000003,1e+17,58.222999999999999,0.13285360222000761,942938,140899.97500000001
