t,mean_x,mean_y,mean_z
1.00000000,0.01131900,3.02964600,3.03044900
21.38775510,0.07895500,8.85871100,8.84794900
41.77551020,0.11331400,9.88602300,9.89362700
62.16326531,0.14006000,10.43537500,10.42516500
82.55102041,0.16252500,10.79908200,10.81100800
102.93877551,0.18218900,11.06385100,11.06693900
123.32653061,0.20015700,11.27507300,11.27631700
143.71428571,0.21707300,11.44476400,11.44939400
164.10204082,0.23303500,11.59591700,11.57841600
184.48979592,0.24712200,11.71760400,11.71077800
204.87755102,0.26065100,11.83011100,11.82446600
225.26530612,0.27354800,11.92056300,11.91514000
245.65306122,0.28602300,11.99899600,12.00720400
266.04081633,0.29794000,12.08455800,12.09325600
286.42857143,0.31021500,12.14649200,12.16376700
306.81632653,0.32097900,12.21742600,12.21905100
327.20408163,0.33174000,12.27081500,12.27543300
347.59183673,0.34217900,12.33054100,12.33003300
367.97959184,0.35207600,12.38009400,12.38153500
388.36734694,0.36185900,12.42757400,12.42859500
408.75510204,0.37080500,12.46902200,12.47655500
429.14285714,0.37995000,12.51567100,12.51477400
449.53061224,0.38924100,12.55783700,12.55858900
469.91836735,0.39823400,12.59342900,12.59255500
490.30612245,0.40693000,12.62895000,12.62416500
510.69387755,0.41504500,12.66389400,12.65718900
531.08163265,0.42325900,12.69917700,12.69021300
551.46938776,0.43170800,12.73231700,12.72155500
571.85714286,0.43961100,12.76352700,12.75302000
592.24489796,0.44708500,12.78954700,12.77853200
612.63265306,0.45529700,12.81390800,12.80779700
633.02040816,0.46224400,12.83631500,12.83245100
653.40816327,0.47011500,12.85660400,12.86188200
673.79591837,0.47712900,12.88387800,12.88877000
694.18367347,0.48454000,12.90336900,12.90628700
714.57142857,0.49169200,12.92769400,12.92395200
734.95918367,0.49912900,12.95464000,12.94143300
755.34693878,0.50576600,12.96923100,12.96380700
775.73469388,0.51269900,12.99555800,12.98563900
796.12244898,0.51939600,13.01781900,13.01278900
816.51020408,0.52582500,13.03685500,13.03150000
836.89795918,0.53243300,13.05373000,13.04786400
857.28571429,0.53920900,13.06871700,13.06403700
877.67346939,0.54567800,13.08510100,13.08589000
898.06122449,0.55220000,13.10038900,13.10452500
918.44897959,0.55834300,13.11657500,13.12610500
938.83673469,0.56478200,13.13504700,13.14406600
959.22448980,0.57116300,13.14827900,13.15924900
979.61224490,0.57680000,13.16386500,13.17724500
1000.00000000,0.58348600,13.17476900,13.18957000
