bc,w,F_used,t,N_traj,avg_x,C_sim,se_C_sim,alpha_fit,steps_max,steps_mean
periodic,5,0.00080000000000000004,10000000000,1000,2.8420000000000001,0.22974976908660627,0,0,6631,1109.152
periodic,5,0.00080000000000000004,10032294675.131184,1000,2.1789999999999998,0.17598196237216004,0,0,6497,1089.778
periodic,5,0.00080000000000000004,10064693644.86659,1000,2.3069999999999999,0.18613945433900358,0,0,6510,1121.1310000000001
periodic,5,0.00080000000000000004,10097197246.022175,1000,2.7309999999999999,0.22013670316584125,0,0,5821,1063.606
periodic,5,0.00080000000000000004,10129805816.501753,1000,2.3639999999999999,0.19036984053534434,0,0,6322,1089.462
periodic,5,0.00080000000000000004,10162519695.300343,1000,2.1520000000000001,0.17313021042764776,0,0,5580,1102.6980000000001
periodic,5,0.00080000000000000004,10195339222.50778,1000,1.9570000000000001,0.15729007935104036,0,0,5954,1125.789
periodic,5,0.00080000000000000004,10228264739.312092,1000,2.3399999999999999,0.1878911304053589,0,0,7295,1137.498
periodic,5,0.00080000000000000004,10261296588.003273,1000,2.3239999999999998,0.18642599150349201,0,0,5969,1165.751
periodic,5,0.00080000000000000004,10294435111.976744,1000,1.8069999999999999,0.14481328534349752,0,0,7097,1139.867
periodic,5,0.00080000000000000004,10327680655.736776,1000,1.492,0.11945353129968192,0,0,6070,1096.8699999999999
periodic,5,0.00080000000000000004,10361033564.900339,1000,2.1440000000000001,0.17148844676950528,0,0,6611,1113.21
periodic,5,0.00080000000000000004,10394494186.200556,1000,2.2149999999999999,0.1769961143760152,0,0,5973,1108.8430000000001
periodic,5,0.00080000000000000004,10428062867.490189,1000,2.5009999999999999,0.19965657165762973,0,0,5608,1107.2950000000001
periodic,5,0.00080000000000000004,10461739957.745504,1000,2.2570000000000001,0.18000368368608352,0,0,6303,1119.45
periodic,5,0.00080000000000000004,10495525807.069735,1000,1.7390000000000001,0.13855727443122898,0,0,5892,1062.0350000000001
periodic,5,0.00080000000000000004,10529420766.696804,1000,1.599,0.12727940295645096,0,0,5712,1160.6030000000001
periodic,5,0.00080000000000000004,10563425188.994804,1000,2.2280000000000002,0.1771759492268401,0,0,5934,1173.4549999999999
periodic,5,0.00080000000000000004,10597539427.469919,1000,2.6019999999999999,0.20671728381721813,0,0,6615,1132.886
periodic,5,0.00080000000000000004,10631763836.769968,1000,2.6259999999999999,0.2084222766070063,0,0,6398,1197.627
periodic,5,0.00080000000000000004,10666098772.687963,1000,1.859,0.14740381352063334,0,0,6780,1137.585
periodic,5,0.00080000000000000004,10700544592.166069,1000,1.5189999999999999,0.12032808900238801,0,0,6381,1176.431
periodic,5,0.00080000000000000004,10735101653.299189,1000,2.012,0.15922715595118708,0,0,6853,1149.0509999999999
periodic,5,0.00080000000000000004,10769770315.338541,1000,1.825,0.14428857568282583,0,0,6194,1131.1179999999999
periodic,5,0.00080000000000000004,10804550938.695673,1000,1.6579999999999999,0.13095844806370213,0,0,6341,1166.183
periodic,5,0.00080000000000000004,10839443884.946022,1000,3.3090000000000002,0.26111130583785591,0,0,6003,1205.5260000000001
periodic,5,0.00080000000000000004,10874449516.832769,1000,2.0800000000000001,0.16397293129834353,0,0,7967,1140.913
periodic,5,0.00080000000000000004,10909568198.270426,1000,2.6309999999999998,0.20720946509296648,0,0,5516,1089.9970000000001
periodic,5,0.00080000000000000004,10944800294.348888,1000,2.254,0.17734647847360302,0,0,7277,1213.864
periodic,5,0.00080000000000000004,10980146171.337101,1000,2.5539999999999998,0.20075643105460333,0,0,10647,1196.528
periodic,5,0.00080000000000000004,11015606196.686726,1000,2.5659999999999998,0.20150468199887009,0,0,6585,1108.55
periodic,5,0.00080000000000000004,11051180739.03623,1000,1.125,0.0882593912966948,0,0,7186,1157.6859999999999
periodic,5,0.00080000000000000004,11086870168.214592,1000,1.96,0.15361880867104971,0,0,7621,1167.0540000000001
periodic,5,0.00080000000000000004,11122674855.245001,1000,1.8540000000000001,0.14517036448391374,0,0,6483,1165.684
periodic,5,0.00080000000000000004,11158595172.348993,1000,2.468,0.19306044760874599,0,0,8838,1137.1310000000001
